dataset,animal_id,variant,CLEAN,U30,SW-U30,T5,B5,J30-5,Five-Missing Mean,Five-Missing Worst
Allen VBN,521466,A0,0.9971237161008369,0.9968966138384687,0.9971237161008369,0.9961136553546396,0.9919565456316711,0.99653851685911,0.9957258095569452,0.9919565456316711
Allen VBN,521466,A1,0.9981165456650951,0.9971622107478193,0.9975188170338937,0.9960856674146639,0.9954225735513464,0.9954664916437814,0.9963311520783009,0.9954225735513464
Allen VBN,521466,A2,0.9760871202978297,0.9746489960513969,0.9731608812024056,0.971555712749516,0.9727876936088894,0.9741417400228614,0.9732590047270138,0.971555712749516
Allen VBN,521466,A3,0.9953069849619733,0.9921589271894529,0.9954536322597404,0.9919684377336093,0.9919565456316711,0.9904472090657244,0.9923969503760397,0.9904472090657244
Allen VBN,521466,A4,0.9971237161008369,0.9942253352499849,0.9957896104445988,0.9949907888239004,0.9959885939085978,0.9904763098018122,0.9942941276457787,0.9904763098018122
Allen VBN,521466,A5,0.9971237161008369,0.9933753457696566,0.9957896104445988,0.9942747301093713,0.9905214239383182,0.9763286193121438,0.9900579459148178,0.9763286193121438
Allen VBN,521466,A7,0.9924258800871996,0.9911418297524353,0.9935004512020131,0.9906209879779526,0.9828529360740836,0.9907231378108072,0.9897678685634583,0.9828529360740836
Allen VBN,524760,A0,1.0,1.0,1.0,1.0,0.9936221851653559,0.9996174368267392,0.998647924398419,0.9936221851653559
Allen VBN,524760,A1,0.9984175555166986,0.9988853108697542,0.9991694352159468,0.9981859366071866,0.9924881136903074,0.9972532116153658,0.9971964015997121,0.9924881136903074
Allen VBN,524760,A2,0.983919857797673,0.9853798516768546,0.9820473555012876,0.9770827439471557,0.9799427565606725,0.9822633787035986,0.9813432172779137,0.9770827439471557
Allen VBN,524760,A3,0.9955296966757068,0.9960597844137261,0.9981658692185007,0.9921721574499095,0.9936221851653559,0.9891273169377529,0.9938294626370491,0.9891273169377529
Allen VBN,524760,A4,1.0,0.9998496240601504,1.0,0.9998496240601504,1.0,0.9971421418239043,0.999368277988841,0.9971421418239043
Allen VBN,524760,A5,1.0,0.9984147515005887,1.0,0.9995910230120757,0.9837721442465913,0.9971824381249107,0.9957920713768333,0.9837721442465913
Allen VBN,524760,A7,0.9990829346092505,0.9977194268662859,0.9990177055542081,0.9969277352861193,0.9853882205943088,0.9965671392266062,0.9951240455055057,0.9853882205943088
Allen VBN,524761,A0,0.9931910198045298,0.9929389241159867,0.9934626113308741,0.992100302595994,0.9866995058357089,0.9894153183359657,0.9909233324429059,0.9866995058357089
Allen VBN,524761,A1,0.9906672326562852,0.9894836250275456,0.9932713348572209,0.9894590136376096,0.9878106871407093,0.9813869488580585,0.9882823219042287,0.9813869488580585
Allen VBN,524761,A2,0.9711981085018727,0.9681842023830791,0.9693891917130432,0.9707264081899372,0.9704796917953864,0.956409669439849,0.967037832704259,0.956409669439849
Allen VBN,524761,A3,0.9870445059334454,0.9840499341328928,0.986506069264919,0.9848143295583107,0.9866995058357089,0.9686865955233077,0.9821512868630278,0.9686865955233077
Allen VBN,524761,A4,0.9931910198045298,0.9894920301033472,0.9926078373147326,0.991273411829271,0.9911812900068142,0.9697600565239364,0.9868629251556202,0.9697600565239364
Allen VBN,524761,A5,0.9931910198045298,0.9877885092558767,0.9923025870094823,0.9899773456663169,0.9843403536103843,0.9461725270840422,0.9801162645252205,0.9461725270840422
Allen VBN,524761,A7,0.9860514689307709,0.983753681914236,0.9879179191036582,0.9835069467298796,0.9826321376555582,0.9764018309246971,0.9828425032656058,0.975885181623046
Allen VBN,527749,A0,1.0,1.0,1.0,0.9998843262001158,0.9951164809107986,0.9998701298701299,0.9989741873962089,0.9951164809107986
Allen VBN,527749,A1,0.9988058674537802,0.9981791965914188,1.0,0.99795915931875,0.9945241012948168,0.9972327826101592,0.9975790479630291,0.9945241012948168
Allen VBN,527749,A2,0.9937985758270197,0.9953858586660829,0.9968414678009461,0.987358427155711,0.9930919224958611,0.9930246787955348,0.9931404709828271,0.987358427155711
Allen VBN,527749,A3,0.9961921171515955,0.9935649351114652,0.9974735790525264,0.9905332339249956,0.9951164809107986,0.9952200181746524,0.9943816494348876,0.9905332339249956
Allen VBN,527749,A4,1.0,0.9990013953930383,1.0,0.9977470175841857,0.9998701298701299,0.9970498955654323,0.9987336876825573,0.9970498955654323
Allen VBN,527749,A5,1.0,0.9977397998457285,1.0,0.9976070358634201,0.991481780854067,0.9948908766394959,0.9963438986405423,0.991481780854067
Allen VBN,527749,A7,0.9990969556759031,0.9981623083654455,0.9993861401756139,0.9967391483951764,0.9953148319379468,0.9976195830902599,0.9974444023928886,0.9953148319379468
Allen VBN,531237,A0,0.99751836360803,0.9975007474507549,0.9975276366669193,0.9978883264770237,0.9945560000929194,0.9956605698578287,0.9966266561090892,0.9945560000929194
Allen VBN,531237,A1,0.9899777321526534,0.9802336416621523,0.9943068128568628,0.9882084115330055,0.9870399565086423,0.969982179082748,0.9839542003286821,0.969982179082748
Allen VBN,531237,A2,0.9504261511697248,0.9319811042539209,0.9474231868267665,0.9469557245840665,0.9528892005829068,0.9194525934475453,0.9397403619390412,0.9194525934475453
Allen VBN,531237,A3,0.9944040851373347,0.9809449031471985,0.9956958637680184,0.9935076549946938,0.9945560000929194,0.971282747725394,0.9871974339456449,0.971282747725394
Allen VBN,531237,A4,0.99751836360803,0.9934701460552422,0.998182944661677,0.9967775287808471,0.9980295539111014,0.9624647316579305,0.9897849810133597,0.9624647316579305
Allen VBN,531237,A5,0.99751836360803,0.9900535672230164,0.998182944661677,0.9953989963715987,0.9918714502288155,0.9423277094980774,0.983566933596637,0.9423277094980774
Allen VBN,531237,A7,0.9868903155603378,0.9763842841362249,0.9943208537042655,0.9868631139595034,0.9825962777612495,0.9695247802167166,0.981937861955592,0.9695247802167166
Allen VBN,544837,A0,0.9987871686555045,0.9987666121920385,0.9993678887484198,0.9983839899007304,0.9918981434281688,0.9977197114909151,0.9972272691520544,0.9918981434281688
Allen VBN,544837,A1,0.9981645905277229,0.9970221782609677,0.9993678887484198,0.996489789398626,0.9881235692943605,0.9943823424149423,0.9950771536234632,0.9881235692943605
Allen VBN,544837,A2,0.9939794363760533,0.9935657267438913,0.9930301032417612,0.9907576017778525,0.9918888819870659,0.9888403162804844,0.991616526006211,0.9888403162804844
Allen VBN,544837,A3,0.9945268221980855,0.9932594100651813,0.9914252893789095,0.9908341940003759,0.9918981434281688,0.9846061708119954,0.9904046415369262,0.9846061708119954
Allen VBN,544837,A4,0.9987871686555045,0.995688192639609,0.996190554788719,0.9972600350306322,0.9979330475984911,0.9888192070828288,0.995178207428056,0.9888192070828288
Allen VBN,544837,A5,0.9987871686555045,0.995144957862426,0.996190554788719,0.9972464012585393,0.9906109820065563,0.979811337186316,0.9918008466205113,0.979811337186316
Allen VBN,544837,A7,0.9959890697491782,0.994957535092136,0.9978390017781341,0.9954138133239379,0.990755637550746,0.992625981394944,0.9943183938279796,0.990755637550746
Allen VBN,546507,A0,0.9985422740524782,0.9983410252475775,0.9992711370262392,0.9962509229641346,0.9881288538497477,0.9978114123613586,0.9959606702898116,0.9881288538497477
Allen VBN,546507,A1,0.9967334526155812,0.9966548941052288,0.9994216310005785,0.990856977602868,0.9908658698029071,0.9930464088246014,0.9941691562672368,0.990856977602868
Allen VBN,546507,A2,0.9799282827569019,0.9766232869663082,0.9823032407507805,0.9704169587485607,0.9754576119470564,0.9733311757436788,0.975626454831277,0.9704169587485607
Allen VBN,546507,A3,0.9939720609452719,0.9864842601529749,0.9954262206423987,0.9663954975436184,0.9881288538497477,0.9719208204537446,0.9816711305284969,0.9663954975436184
Allen VBN,546507,A4,0.9985422740524782,0.9971159357187848,0.9985422740524783,0.9942674909201227,0.9984566990474617,0.9939403836046313,0.9964645566686958,0.9939403836046313
Allen VBN,546507,A5,0.9985422740524782,0.9967865653413502,0.9985422740524783,0.9934767289685148,0.9846746870637615,0.991695643442112,0.9930351797736433,0.9846746870637615
Allen VBN,546507,A7,0.9944353295588526,0.9932933340677701,0.9960202704563608,0.9898281930953547,0.9761887885392013,0.9905233179246455,0.9891707808166664,0.9761887885392013
Allen VBN,563497,A0,0.9986648865153538,0.9985150363655036,0.9990077679330016,0.9949139062861573,0.9939239239047477,0.996441143723504,0.9965603556425828,0.9937646412495469
Allen VBN,563497,A1,0.9977104269621682,0.9966443802798516,0.9988464136341426,0.9904233211721548,0.9925582477148385,0.9892736046688049,0.9935491934939584,0.988484333456827
Allen VBN,563497,A2,0.9879263893956437,0.9855088754810701,0.9877329316005913,0.9766075622857856,0.9842640587732844,0.9778208158211183,0.9823868487923699,0.9756403907305657
Allen VBN,563497,A3,0.9964555801685427,0.9950687149393296,0.9955335598949537,0.9846394793502642,0.9939239239047477,0.979853149717312,0.9898037655613214,0.979853149717312
Allen VBN,563497,A4,0.9986648865153538,0.9973155986648159,0.9971025967034098,0.993961046220725,0.9924039624398435,0.9874703636179692,0.9936507135293527,0.9823409788267949
Allen VBN,563497,A5,0.9986648865153538,0.9972880633111723,0.9971025967034098,0.9933801803727836,0.987892119005915,0.9822387775944021,0.9915803473975366,0.9778888270656516
Allen VBN,563497,A7,0.9949150842103935,0.9939511265392295,0.9952537115464313,0.9873492224402163,0.9909172128516067,0.9882692728151228,0.9911481092385213,0.9846124485856301
Allen VBN,567286,A0,0.9992193598750976,0.998462522727283,0.9992193598750976,0.9987847568841037,0.9908535322235827,0.9977884095461367,0.9970217162512407,0.9908535322235827
Allen VBN,567286,A1,0.9980477453480167,0.9965319336589662,0.9992193598750976,0.9976952208686656,0.9903424354263288,0.9939008030259577,0.9955379505710031,0.9903424354263288
Allen VBN,567286,A2,0.9899742274513869,0.9905259554353,0.9918537686751904,0.9893658764292106,0.9900640450723468,0.9878285310959185,0.9899276353415933,0.9878285310959185
Allen VBN,567286,A3,0.9951364770374009,0.9900551427780536,0.9930107153297577,0.9908030537654117,0.9908535322235827,0.9868330496536839,0.9903110987500978,0.9868330496536839
Allen VBN,567286,A4,0.9992193598750976,0.994978052429057,0.998669909325647,0.9975542079843818,0.9975442930872489,0.9830187956471639,0.9943530516946997,0.9830187956471639
Allen VBN,567286,A5,0.9992193598750976,0.994325580760685,0.998669909325647,0.9970463449201278,0.9880803635593448,0.9662130095452646,0.9888670416222138,0.9662130095452646
Allen VBN,567286,A7,0.9962279728341724,0.9949358522206315,0.9984272260965343,0.994469287983822,0.9847847875431459,0.9934592330123805,0.9932152773713028,0.9847847875431459
Allen VBN,570301,A0,0.9987182428169984,0.9973244540961668,0.998151349392962,0.9974739158740302,0.9737521219561609,0.9870926607085824,0.9907589004055805,0.9737521219561609
Allen VBN,570301,A1,0.9952390358684762,0.9894328600009523,0.9954393450509953,0.9902010502159474,0.9556552243388309,0.9607041396491514,0.9782865238511753,0.9556552243388309
Allen VBN,570301,A2,0.9451122329267552,0.9387287471366653,0.9454029124402723,0.9400791252269094,0.931936433754992,0.9021181965690863,0.931653083025585,0.9021181965690863
Allen VBN,570301,A3,0.9900510974343927,0.9801692769091519,0.9826693116780181,0.981206869918917,0.9737521219561609,0.9291463453821193,0.9693887851688734,0.9291463453821193
Allen VBN,570301,A4,0.9987182428169984,0.9914510524414155,0.9933505622117025,0.9956355357437203,0.9888190629337792,0.9028112283267345,0.9744134883314703,0.9028112283267345
Allen VBN,570301,A5,0.9987182428169984,0.9900665468176906,0.9933505622117025,0.9944600685414269,0.9324204197116318,0.8651667254696649,0.9550928645504232,0.8651667254696649
Allen VBN,570301,A7,0.982461695877499,0.978917508260599,0.9866783068076419,0.9787315665495818,0.9565569568803465,0.955659669925615,0.9713088016847568,0.955659669925615
CRCNS pvc-11,monkey1,A0,0.9785714285714285,0.9514285714285714,0.975,0.9571428571428571,0.937142857142857,0.925,0.9491428571428571,0.925
CRCNS pvc-11,monkey1,A1,0.8785714285714287,0.8457142857142858,0.8571428571428571,0.8707142857142858,0.8435714285714285,0.8578571428571429,0.8549999999999999,0.8435714285714285
CRCNS pvc-11,monkey1,A2,0.9214285714285715,0.8985714285714286,0.9285714285714286,0.9164285714285713,0.9228571428571428,0.8799999999999999,0.9092857142857141,0.8799999999999999
CRCNS pvc-11,monkey1,A3,0.9571428571428571,0.9035714285714285,0.9357142857142857,0.9257142857142858,0.937142857142857,0.8657142857142857,0.9135714285714286,0.8657142857142857
CRCNS pvc-11,monkey1,A4,0.9785714285714285,0.89,0.95,0.9378571428571428,0.9492857142857142,0.79,0.9034285714285714,0.79
CRCNS pvc-11,monkey1,A5,0.9785714285714285,0.8714285714285713,0.9321428571428572,0.9328571428571429,0.915,0.725,0.8752857142857142,0.725
CRCNS pvc-11,monkey1,A7,0.9624999999999999,0.9282142857142857,0.9553571428571428,0.9382142857142857,0.9253571428571428,0.9085714285714286,0.9311428571428572,0.9085714285714286
CRCNS pvc-11,monkey2,A0,0.9964285714285713,0.9807142857142859,0.9964285714285713,0.9892857142857142,0.9692857142857143,0.9757142857142856,0.9822857142857144,0.9692857142857143
CRCNS pvc-11,monkey2,A1,0.9428571428571428,0.9235714285714286,0.9535714285714285,0.9328571428571429,0.9114285714285714,0.917142857142857,0.9277142857142857,0.9114285714285714
CRCNS pvc-11,monkey2,A2,1.0,0.9885714285714287,1.0,0.9935714285714285,0.987857142857143,0.9857142857142858,0.9911428571428573,0.9857142857142858
CRCNS pvc-11,monkey2,A3,0.9928571428571429,0.9642857142857142,0.9928571428571429,0.9742857142857144,0.9692857142857143,0.9492857142857144,0.9700000000000001,0.9492857142857144
CRCNS pvc-11,monkey2,A4,0.9964285714285713,0.9157142857142857,0.9892857142857144,0.9778571428571429,0.9778571428571429,0.9028571428571428,0.9527142857142857,0.9028571428571428
CRCNS pvc-11,monkey2,A5,0.9964285714285713,0.8871428571428572,0.9928571428571429,0.9778571428571429,0.9485714285714286,0.8542857142857143,0.9321428571428572,0.8542857142857143
CRCNS pvc-11,monkey2,A7,0.9928571428571429,0.9753571428571428,0.9910714285714286,0.985,0.9639285714285715,0.9714285714285714,0.9773571428571429,0.9639285714285715
CRCNS pvc-11,monkey3,A0,0.9964285714285713,0.9914285714285714,1.0,0.9942857142857143,0.99,0.9807142857142856,0.9912857142857143,0.9807142857142856
CRCNS pvc-11,monkey3,A1,0.9928571428571429,0.9800000000000001,0.9678571428571429,0.9835714285714285,0.957857142857143,0.9678571428571429,0.9714285714285713,0.957857142857143
CRCNS pvc-11,monkey3,A2,0.9857142857142858,0.9728571428571428,0.9928571428571429,0.9814285714285715,0.9814285714285713,0.9721428571428572,0.9801428571428572,0.9721428571428572
CRCNS pvc-11,monkey3,A3,0.9964285714285713,0.9828571428571429,0.9964285714285713,0.9892857142857142,0.99,0.9678571428571429,0.9852857142857141,0.9678571428571429
CRCNS pvc-11,monkey3,A4,0.9964285714285713,0.9621428571428572,0.8857142857142856,0.9914285714285714,0.9949999999999999,0.9264285714285714,0.9521428571428572,0.8857142857142856
CRCNS pvc-11,monkey3,A5,0.9964285714285713,0.9321428571428572,0.8142857142857143,0.9914285714285713,0.9871428571428572,0.8992857142857142,0.9248571428571429,0.8142857142857143
CRCNS pvc-11,monkey3,A7,0.9946428571428572,0.9889285714285714,0.9964285714285713,0.99,0.9860714285714285,0.9782142857142857,0.9879285714285715,0.9782142857142857
