dataset,animal_id,variant,endpoint,full_minus_ablated
Allen VBN,544837,A5,B5,0.0012871614216125593
Allen VBN,544837,A5,CLEAN,0.0
Allen VBN,544837,A5,Five-Missing Mean,0.005426422531543129
Allen VBN,544837,A5,Five-Missing Worst,0.012086806241852877
Allen VBN,544837,A5,J30-5,0.01790837430459913
Allen VBN,544837,A5,SW-U30,0.0031773339597007677
Allen VBN,544837,A5,T5,0.0011375886421911563
Allen VBN,544837,A5,U30,0.003621654329612589
Allen VBN,544837,A7,B5,0.001142505877422817
Allen VBN,544837,A7,CLEAN,0.0027980989063263184
Allen VBN,544837,A7,Five-Missing Mean,0.0029088753240748
Allen VBN,544837,A7,Five-Missing Worst,0.001142505877422817
Allen VBN,544837,A7,J30-5,0.0050937300959711385
Allen VBN,544837,A7,SW-U30,0.0015288869702856367
Allen VBN,544837,A7,T5,0.002970176576792549
Allen VBN,544837,A7,U30,0.0038090770999025247
Allen VBN,546507,A1,B5,-0.0027370159531594496
Allen VBN,546507,A1,CLEAN,0.001808821436896979
Allen VBN,546507,A1,Five-Missing Mean,0.001791514022574825
Allen VBN,546507,A1,Five-Missing Worst,-0.0027281237531202596
Allen VBN,546507,A1,J30-5,0.00476500353675724
Allen VBN,546507,A1,SW-U30,-0.00015049397433930523
Allen VBN,546507,A1,T5,0.005393945361266694
Allen VBN,546507,A1,U30,0.0016861311423487235
Allen VBN,546507,A2,B5,0.01267124190269131
Allen VBN,546507,A2,CLEAN,0.018613991295576282
Allen VBN,546507,A2,Five-Missing Mean,0.020334215458534644
Allen VBN,546507,A2,Five-Missing Worst,0.01771189510118698
Allen VBN,546507,A2,J30-5,0.02448023661767984
Allen VBN,546507,A2,SW-U30,0.016967896275458694
Allen VBN,546507,A2,T5,0.025833964215573935
Allen VBN,546507,A2,U30,0.021717738281269328
Allen VBN,546507,A3,B5,0.0
Allen VBN,546507,A3,CLEAN,0.004570213107206289
Allen VBN,546507,A3,Five-Missing Mean,0.014289539761314751
Allen VBN,546507,A3,Five-Missing Worst,0.02173335630612927
Allen VBN,546507,A3,J30-5,0.025890591907614002
Allen VBN,546507,A3,SW-U30,0.0038449163838404354
Allen VBN,546507,A3,T5,0.029855425420516224
Allen VBN,546507,A3,U30,0.01185676509460265
Allen VBN,546507,A4,B5,-0.010327845197714014
Allen VBN,546507,A4,CLEAN,0.0
Allen VBN,546507,A4,Five-Missing Mean,-0.0005038863788842107
Allen VBN,546507,A4,Five-Missing Worst,-0.0058115297548836375
Allen VBN,546507,A4,J30-5,0.0038710287567272905
Allen VBN,546507,A4,SW-U30,0.0007288629737608465
Allen VBN,546507,A4,T5,0.001983432044011968
Allen VBN,546507,A4,U30,0.0012250895287927444
Allen VBN,546507,A5,B5,0.0034541667859862013
Allen VBN,546507,A5,CLEAN,0.0
Allen VBN,546507,A5,Five-Missing Mean,0.0029254905161683054
Allen VBN,546507,A5,Five-Missing Worst,0.0034541667859862013
Allen VBN,546507,A5,J30-5,0.006115768919246589
Allen VBN,546507,A5,SW-U30,0.0007288629737608465
Allen VBN,546507,A5,T5,0.0027741939956198447
Allen VBN,546507,A5,U30,0.001554459906227268
Allen VBN,546507,A7,B5,0.011940065310546366
Allen VBN,546507,A7,CLEAN,0.004106944493625586
Allen VBN,546507,A7,Five-Missing Mean,0.006789889473145183
Allen VBN,546507,A7,Five-Missing Worst,0.011940065310546366
Allen VBN,546507,A7,J30-5,0.007288094436713077
Allen VBN,546507,A7,SW-U30,0.0032508665698783856
Allen VBN,546507,A7,T5,0.006422729868779897
Allen VBN,546507,A7,U30,0.005047691179807412
Allen VBN,563497,A1,B5,0.0013656761899093484
Allen VBN,563497,A1,CLEAN,0.0009544595531856825
Allen VBN,563497,A1,Five-Missing Mean,0.0030111621486244577
Allen VBN,563497,A1,Five-Missing Worst,0.005280307792719818
Allen VBN,563497,A1,J30-5,0.007167539054699079
Allen VBN,563497,A1,SW-U30,0.00016135429885899555
Allen VBN,563497,A1,T5,0.0044905851140024655
Allen VBN,563497,A1,U30,0.001870656085652067
Allen VBN,563497,A2,B5,0.009659865131463385
Allen VBN,563497,A2,CLEAN,0.010738497119710089
Allen VBN,563497,A2,Five-Missing Mean,0.014173506850212902
Allen VBN,563497,A2,Five-Missing Worst,0.018124250518981033
Allen VBN,563497,A2,J30-5,0.018620327902385603
Allen VBN,563497,A2,SW-U30,0.011274836332410276
Allen VBN,563497,A2,T5,0.018306344000371677
Allen VBN,563497,A2,U30,0.013006160884433515
Allen VBN,563497,A3,B5,0.0
Allen VBN,563497,A3,CLEAN,0.0022093063468110463
Allen VBN,563497,A3,Five-Missing Mean,0.006756590081261504
Allen VBN,563497,A3,Five-Missing Worst,0.01391149153223481
Allen VBN,563497,A3,J30-5,0.016587994006191986
Allen VBN,563497,A3,SW-U30,0.003474208038047766
Allen VBN,563497,A3,T5,0.010274426935893144
Allen VBN,563497,A3,U30,0.003446321426174126
Allen VBN,563497,A4,B5,0.0015199614649042958
Allen VBN,563497,A4,CLEAN,0.0
Allen VBN,563497,A4,Five-Missing Mean,0.0029096421132301376
Allen VBN,563497,A4,Five-Missing Worst,0.01142366242275189
Allen VBN,563497,A4,J30-5,0.008970780105534759
Allen VBN,563497,A4,SW-U30,0.0019051712295917178
Allen VBN,563497,A4,T5,0.0009528600654322705
Allen VBN,563497,A4,U30,0.0011994377006877555
Allen VBN,563497,A5,B5,0.00603180489883276
Allen VBN,563497,A5,CLEAN,0.0
Allen VBN,563497,A5,Five-Missing Mean,0.004980008245046241
Allen VBN,563497,A5,Five-Missing Worst,0.01587581418389522
Allen VBN,563497,A5,J30-5,0.014202366129101807
Allen VBN,563497,A5,SW-U30,0.0019051712295917178
Allen VBN,563497,A5,T5,0.0015337259133736403
Allen VBN,563497,A5,U30,0.0012269730543313928
Allen VBN,563497,A7,B5,0.0030067110531410424
Allen VBN,563497,A7,CLEAN,0.003749802304960248
Allen VBN,563497,A7,Five-Missing Mean,0.005412246404061627
Allen VBN,563497,A7,Five-Missing Worst,0.009152192663916703
Allen VBN,563497,A7,J30-5,0.008171870908381229
Allen VBN,563497,A7,SW-U30,0.003754056386570337
Allen VBN,563497,A7,T5,0.007564683845941
Allen VBN,563497,A7,U30,0.004563909826274193
Allen VBN,567286,A1,B5,0.0005110967972539182
Allen VBN,567286,A1,CLEAN,0.001171614527080922
Allen VBN,567286,A1,Five-Missing Mean,0.0014837656802375587
Allen VBN,567286,A1,Five-Missing Worst,0.0005110967972539182
Allen VBN,567286,A1,J30-5,0.0038876065201789434
Allen VBN,567286,A1,SW-U30,0.0
Allen VBN,567286,A1,T5,0.0010895360154381528
Allen VBN,567286,A1,U30,0.0019305890683167792
Allen VBN,567286,A2,B5,0.0007894871512359458
Allen VBN,567286,A2,CLEAN,0.009245132423710722
Allen VBN,567286,A2,Five-Missing Mean,0.00709408090964736
Allen VBN,567286,A2,Five-Missing Worst,0.0030250011276642397
Allen VBN,567286,A2,J30-5,0.009959878450218174
Allen VBN,567286,A2,SW-U30,0.0073655911999072066
Allen VBN,567286,A2,T5,0.009418880454893142
Allen VBN,567286,A2,U30,0.007936567291982999
Allen VBN,567286,A3,B5,0.0
Allen VBN,567286,A3,CLEAN,0.004082882837696644
Allen VBN,567286,A3,Five-Missing Mean,0.006710617501142879
