dataset,session,animal,severity_type,severity_value,severity_unit,replicate,mask_seed,n_units_total,n_units_missing,n_bins_total,n_bins_missing,mask_source,mask_file,mask_hash,protocol_hash
Allen VBN,1069458330,544837,TEMPORAL,7.0,bins,3,2156718461,,0.0,25,7.0,NEW_SUPP_S1_FIXED_SEED,,34c93d42a8c953df4a4ebd615e0657c6cbc00eb4d3f41c0aba537a351cff7cc2,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,7.0,bins,4,649468387,,0.0,25,7.0,NEW_SUPP_S1_FIXED_SEED,,7fd56d397273167db1d2061a7f2ac786450881980cca75e06b2a0665b93a7433,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,10.0,bins,0,1449601620,,0.0,25,10.0,NEW_SUPP_S1_FIXED_SEED,,ac57bead5695305966194b67fad1a648118bdcd26cdef82003dcbda2df868cd6,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,10.0,bins,1,2398730790,,0.0,25,10.0,NEW_SUPP_S1_FIXED_SEED,,14bc070180772d1c8cd5f89082d0bbac8230f826e143f12fd19167f2284fd27d,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,10.0,bins,2,2391251127,,0.0,25,10.0,NEW_SUPP_S1_FIXED_SEED,,4729b8993fb347791f03ad44c7c2e54be82a2a19bacc6fd411bb742337bf41c1,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,10.0,bins,3,2034943890,,0.0,25,10.0,NEW_SUPP_S1_FIXED_SEED,,a983821a7ead535258aaa948ba9bdd0742abe46c70fe669f9a67091b40e0dd9f,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,10.0,bins,4,3381620075,,0.0,25,10.0,NEW_SUPP_S1_FIXED_SEED,,0136ffd59139bdfc122ae4caf16aa5eb71dc5ce03e8cb1a7f369e18e23d08035,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,0,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,1,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,2,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,3,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,4,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,0,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,1,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,2,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,3,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,TEMPORAL,5.0,bins,4,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_T5,,IDENTITY,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.1,proportion,0,761469519,,131.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,421d2cba8cbb59ab0cd1708c854e3357fd8ee9a653c2735b93c1546120f2a81e,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.1,proportion,1,2702721634,,131.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,2592704f57e118541bd836207d6472ee54b9add2624a3062f5a4d45457c2f52a,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.1,proportion,2,765153954,,131.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,2ae73338a38285088a2f932220d57ef51dc1d3c3a9bc2a9af641fb4995a7742e,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.1,proportion,3,2159027378,,131.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,adf1587df81774e1b44cb66bb5f4a80683be81e178dc7e4ed854e718af9c0dfe,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.1,proportion,4,682057663,,131.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,d27e6342c5a10cde8700348c4dcb922c7e5ae25feb40a2b1cb8c3d96d9c44aba,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.2,proportion,0,3691474222,,262.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,56ee7f155528187b7a794a7ec32e88baeb0217a1d54ff7b25368a1e4292a54b7,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.2,proportion,1,3942457533,,262.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,c1eecda9586012da0dd06e6b869711c27ac2fae87b7c3ccb3476a7de687feb8c,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
