job_id,dataset,animal,session,model,model_id,model_seed,severity_type,severity_value,severity_unit,replicate,is_anchor,mask_source,planned_status
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|5|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,5,bins,1,True,MAIN_FROZEN_T5,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|5|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,5,bins,2,True,MAIN_FROZEN_T5,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|5|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,5,bins,3,True,MAIN_FROZEN_T5,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|5|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,5,bins,4,True,MAIN_FROZEN_T5,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|7|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,7,bins,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|7|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,7,bins,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|7|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,7,bins,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|7|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,7,bins,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|7|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,7,bins,4,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|1|TEMPORAL|10|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,1,TEMPORAL,10,bins,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING
