dataset,animal_id,endpoint,baseline,MMRVD_value,baseline_value,paired_difference
Allen VBN,567286,T5,GRU-D,0.9988002425740363,0.16876384486171364,0.8300363977123226
Allen VBN,570301,T5,GRU-D,0.9944137269418214,0.054138317259652256,0.9402754096821692
Allen VBN,506940,B5,GRU-D,0.9988801379358148,-0.0025040269611063598,1.001384164896921
Allen VBN,510589,B5,GRU-D,0.9975833746090441,0.026416037155171723,0.9711673374538724
Allen VBN,521466,B5,GRU-D,0.9970128187361282,-0.00015659347804353982,0.9971694122141718
Allen VBN,524760,B5,GRU-D,0.9994192799070849,0.00345963995354238,0.9959596399535425
Allen VBN,524761,B5,GRU-D,0.9912836884396283,0.0009390533283788209,0.9903446351112495
Allen VBN,527749,B5,GRU-D,0.9987375285658547,0.00243820161085788,0.9962993269549969
Allen VBN,531237,B5,GRU-D,0.9980082025049268,0.00086292847117824,0.9971452740337486
Allen VBN,544837,B5,GRU-D,0.9994465648360867,0.12261428299316761,0.8768322818429192
Allen VBN,546507,B5,GRU-D,0.9994198694706308,0.06882884385966864,0.9305910256109622
Allen VBN,563497,B5,GRU-D,0.9944543159925402,0.15811014285992875,0.8363441731326114
Allen VBN,567286,B5,GRU-D,0.9914331245177144,0.13231119578461598,0.8591219287330984
Allen VBN,570301,B5,GRU-D,0.9784703397979004,0.04065344538047757,0.9378168944174229
Allen VBN,506940,J30-5,GRU-D,0.9991670690442666,0.00021827257793389184,0.9989487964663326
Allen VBN,510589,J30-5,GRU-D,0.998898237271213,0.0070675640074739,0.9918306732637391
Allen VBN,521466,J30-5,GRU-D,0.9987631845450068,0.0045945840518359995,0.9941686004931708
Allen VBN,524760,J30-5,GRU-D,0.9986489211692924,-0.00018486139701604003,0.9988337825663084
Allen VBN,524761,J30-5,GRU-D,0.9926806075035758,0.000468228085244192,0.9922123794183316
Allen VBN,527749,J30-5,GRU-D,0.9981510096984479,0.0005947206508214592,0.9975562890476265
Allen VBN,531237,J30-5,GRU-D,0.9979740277071485,0.0006149998076895681,0.997359027899459
Allen VBN,544837,J30-5,GRU-D,0.9989257931471295,0.02318733964315266,0.9757384535039768
Allen VBN,546507,J30-5,GRU-D,0.9982916887277842,0.017471614444631293,0.9808200742831529
Allen VBN,563497,J30-5,GRU-D,0.9980374609906668,0.03411535264239059,0.9639221083482762
Allen VBN,567286,J30-5,GRU-D,0.998352571257627,0.030030725792981734,0.9683218454646453
Allen VBN,570301,J30-5,GRU-D,0.9906297436546767,0.016297410381128034,0.9743323332735486
Allen VBN,506940,Five-Missing Mean,GRU-D,0.9987201723336845,-0.0011520752798070094,0.9998722476134915
Allen VBN,510589,Five-Missing Mean,GRU-D,0.9988058072272606,0.031323643556826784,0.9674821636704338
Allen VBN,521466,Five-Missing Mean,GRU-D,0.998770617676659,0.012054110411815281,0.9867165072648437
Allen VBN,524760,Five-Missing Mean,GRU-D,0.9990423425103467,0.0011301022572581944,0.9979122402530886
Allen VBN,524761,Five-Missing Mean,GRU-D,0.993184358321189,0.0032822932675603024,0.9899020650536287
Allen VBN,527749,Five-Missing Mean,GRU-D,0.9989875226568232,0.0006969735310947597,0.9982905491257285
Allen VBN,531237,Five-Missing Mean,GRU-D,0.9979446863870935,0.0007542982823745304,0.997190388104719
Allen VBN,544837,Five-Missing Mean,GRU-D,0.9994702591582177,0.08078638199173348,0.9186838771664843
Allen VBN,546507,Five-Missing Mean,GRU-D,0.9990284020265099,0.04368263728942228,0.9553457647370877
Allen VBN,563497,Five-Missing Mean,GRU-D,0.997728693708078,0.09629061079498216,0.9014380829130959
Allen VBN,567286,Five-Missing Mean,GRU-D,0.9971867157993636,0.08336344272600629,0.9138232730733573
Allen VBN,570301,Five-Missing Mean,GRU-D,0.9908780411676981,0.03198016142008133,0.9588978797476168
Allen VBN,506940,Five-Missing Worst,GRU-D,0.99689824647233,-0.003816749534781792,1.0007149960071118
