dataset,endpoint,baseline,n_animals,mean_difference,median_difference,SD,min,max,CI_lower,CI_upper,positive_animal_count,analysis_type
CRCNS pvc-11,U30,SVM,3,0.2665476190476189,0.29035714285714287,0.06921418742928795,0.1885714285714284,0.3207142857142855,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,SW-U30,SVM,3,0.2665476190476189,0.29035714285714287,0.06921418742928795,0.1885714285714284,0.3207142857142855,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,T5,SVM,3,0.1741666666666665,0.1628571428571428,0.07545975861389982,0.10499999999999976,0.25464285714285695,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,B5,SVM,3,0.1369047619047619,0.14821428571428596,0.05358134828794215,0.07857142857142829,0.18392857142857144,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,J30-5,SVM,3,0.31035714285714283,0.3364285714285714,0.070668275074752,0.23035714285714282,0.3642857142857142,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Mean,SVM,3,0.23090476190476183,0.24564285714285716,0.06655672482212169,0.15821428571428553,0.2888571428571428,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Worst,SVM,3,0.31035714285714283,0.3364285714285714,0.070668275074752,0.23035714285714282,0.3642857142857142,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,CLEAN,SVD,3,0.023809523809523687,0.02321428571428552,0.02054218324611588,0.0035714285714285587,0.044642857142856984,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,U30,SVD,3,0.03107142857142849,0.025000000000000133,0.012095495872768466,0.023214285714285632,0.04499999999999971,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,SW-U30,SVD,3,0.03107142857142849,0.025000000000000133,0.012095495872768466,0.023214285714285632,0.04499999999999971,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,T5,SVD,3,0.02333333333333328,0.01928571428571435,0.007956621338812664,0.01821428571428574,0.03249999999999975,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,B5,SVD,3,0.006547619047619098,0.008928571428571397,0.010910894511799676,-0.005357142857142838,0.016071428571428736,NA,NA,2,DESCRIPTIVE_SMALL_N
