dataset,animal,model,severity_type,severity_value,severity_unit,CN_BalAcc,n_sessions_contributing
Allen VBN,524761,SVM,TEMPORAL,2.0,bins,0.9803334456795739,2
Allen VBN,524761,SVM,TEMPORAL,3.0,bins,0.9770015461874068,2
Allen VBN,524761,SVM,TEMPORAL,5.0,bins,0.9751342768675819,2
Allen VBN,524761,SVM,TEMPORAL,7.0,bins,0.9582103525605883,2
Allen VBN,524761,SVM,TEMPORAL,10.0,bins,0.9129120951102861,2
Allen VBN,524761,SVM,UNIT,0.1,proportion,0.980048274919256,2
Allen VBN,524761,SVM,UNIT,0.2,proportion,0.9773960888463538,2
Allen VBN,524761,SVM,UNIT,0.3,proportion,0.9732965366927602,2
Allen VBN,524761,SVM,UNIT,0.4,proportion,0.9640358156204396,2
Allen VBN,524761,SVM,UNIT,0.5,proportion,0.956526982900376,2
Allen VBN,527749,MM-RVD,CLEAN_REFERENCE,0.0,none,0.99937343358396,1
Allen VBN,527749,MM-RVD,TEMPORAL,2.0,bins,0.999749373433584,1
Allen VBN,527749,MM-RVD,TEMPORAL,3.0,bins,0.99912362842338,1
Allen VBN,527749,MM-RVD,TEMPORAL,5.0,bins,0.999256276289921,1
Allen VBN,527749,MM-RVD,TEMPORAL,7.0,bins,0.9994987468671681,1
Allen VBN,527749,MM-RVD,TEMPORAL,10.0,bins,0.9982701328995705,1
Allen VBN,527749,MM-RVD,UNIT,0.1,proportion,0.9994987468671681,1
Allen VBN,527749,MM-RVD,UNIT,0.2,proportion,0.9994987468671679,1
Allen VBN,527749,MM-RVD,UNIT,0.3,proportion,0.9993963993649462,1
Allen VBN,527749,MM-RVD,UNIT,0.4,proportion,0.9996355430408691,1
Allen VBN,527749,MM-RVD,UNIT,0.5,proportion,0.9995102297576611,1
Allen VBN,527749,SVM,CLEAN_REFERENCE,0.0,none,0.990914885830914,1
Allen VBN,527749,SVM,TEMPORAL,2.0,bins,0.9898994644439235,1
Allen VBN,527749,SVM,TEMPORAL,3.0,bins,0.9886052414738153,1
Allen VBN,527749,SVM,TEMPORAL,5.0,bins,0.9721101964035177,1
Allen VBN,527749,SVM,TEMPORAL,7.0,bins,0.9800555017176311,1
Allen VBN,527749,SVM,TEMPORAL,10.0,bins,0.9527004097184685,1
Allen VBN,527749,SVM,UNIT,0.1,proportion,0.9894345088287135,1
Allen VBN,527749,SVM,UNIT,0.2,proportion,0.9881588375210808,1
Allen VBN,527749,SVM,UNIT,0.3,proportion,0.9831811152165892,1
Allen VBN,527749,SVM,UNIT,0.4,proportion,0.9785818472588814,1
Allen VBN,527749,SVM,UNIT,0.5,proportion,0.9745294346867848,1
Allen VBN,531237,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9986983336298404,1
Allen VBN,531237,MM-RVD,TEMPORAL,2.0,bins,0.9984520282111212,1
Allen VBN,531237,MM-RVD,TEMPORAL,3.0,bins,0.9981990053718915,1
Allen VBN,531237,MM-RVD,TEMPORAL,5.0,bins,0.9975956306786893,1
Allen VBN,531237,MM-RVD,TEMPORAL,7.0,bins,0.9968706591077083,1
Allen VBN,531237,MM-RVD,TEMPORAL,10.0,bins,0.9934981950970092,1
Allen VBN,531237,MM-RVD,UNIT,0.1,proportion,0.9983288755017616,1
Allen VBN,531237,MM-RVD,UNIT,0.2,proportion,0.9983288755017616,1
Allen VBN,531237,MM-RVD,UNIT,0.3,proportion,0.9980727855223515,1
Allen VBN,531237,MM-RVD,UNIT,0.4,proportion,0.9979699760229209,1
Allen VBN,531237,MM-RVD,UNIT,0.5,proportion,0.9964409280960844,1
Allen VBN,531237,SVM,CLEAN_REFERENCE,0.0,none,0.9546449139229309,1
Allen VBN,531237,SVM,TEMPORAL,2.0,bins,0.9497981755092657,1
Allen VBN,531237,SVM,TEMPORAL,3.0,bins,0.94451280740199,1
Allen VBN,531237,SVM,TEMPORAL,5.0,bins,0.9481307991170951,1
Allen VBN,531237,SVM,TEMPORAL,7.0,bins,0.9172554456911648,1
Allen VBN,531237,SVM,TEMPORAL,10.0,bins,0.8736588663592645,1
Allen VBN,531237,SVM,UNIT,0.1,proportion,0.9477262898027494,1
Allen VBN,531237,SVM,UNIT,0.2,proportion,0.9439864026923578,1
Allen VBN,531237,SVM,UNIT,0.3,proportion,0.9295405025784411,1
Allen VBN,531237,SVM,UNIT,0.4,proportion,0.8950124549980991,1
Allen VBN,531237,SVM,UNIT,0.5,proportion,0.8835464459171032,1
Allen VBN,544837,MM-RVD,CLEAN_REFERENCE,0.0,none,1.0,1
Allen VBN,544837,MM-RVD,TEMPORAL,2.0,bins,0.9998843262001156,1
Allen VBN,544837,MM-RVD,TEMPORAL,3.0,bins,0.999668048778501,1
Allen VBN,544837,MM-RVD,TEMPORAL,5.0,bins,0.9996729806071782,1
Allen VBN,544837,MM-RVD,TEMPORAL,7.0,bins,0.9986973308690221,1
Allen VBN,544837,MM-RVD,TEMPORAL,10.0,bins,0.9974750862544608,1
Allen VBN,544837,MM-RVD,UNIT,0.1,proportion,1.0,1
Allen VBN,544837,MM-RVD,UNIT,0.2,proportion,0.9998843262001156,1
Allen VBN,544837,MM-RVD,UNIT,0.3,proportion,0.9998843262001156,1
Allen VBN,544837,MM-RVD,UNIT,0.4,proportion,0.9995178544066153,1
Allen VBN,544837,MM-RVD,UNIT,0.5,proportion,0.999024148342334,1
Allen VBN,544837,SVM,CLEAN_REFERENCE,0.0,none,0.9951745357717214,1
Allen VBN,544837,SVM,TEMPORAL,2.0,bins,0.9950197569664989,1
Allen VBN,544837,SVM,TEMPORAL,3.0,bins,0.9935633706535631,1
Allen VBN,544837,SVM,TEMPORAL,5.0,bins,0.9881655229911495,1
Allen VBN,544837,SVM,TEMPORAL,7.0,bins,0.9823139255548687,1
Allen VBN,544837,SVM,TEMPORAL,10.0,bins,0.933962713931511,1
Allen VBN,544837,SVM,UNIT,0.1,proportion,0.9933309553404944,1
Allen VBN,544837,SVM,UNIT,0.2,proportion,0.9919334372860829,1
Allen VBN,544837,SVM,UNIT,0.3,proportion,0.990887175398102,1
Allen VBN,544837,SVM,UNIT,0.4,proportion,0.9886304173186552,1
Allen VBN,544837,SVM,UNIT,0.5,proportion,0.9864235573963218,1
Allen VBN,546507,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9992748368382884,1
Allen VBN,546507,MM-RVD,TEMPORAL,2.0,bins,0.9993051247775728,1
Allen VBN,546507,MM-RVD,TEMPORAL,3.0,bins,0.9995835124849993,1
Allen VBN,546507,MM-RVD,TEMPORAL,5.0,bins,0.9984998491750199,1
Allen VBN,546507,MM-RVD,TEMPORAL,7.0,bins,0.997757923551281,1
Allen VBN,546507,MM-RVD,TEMPORAL,10.0,bins,0.9948059644438679,1
Allen VBN,546507,MM-RVD,UNIT,0.1,proportion,0.9994198694706308,1
Allen VBN,546507,MM-RVD,UNIT,0.2,proportion,0.9994198694706308,1
Allen VBN,546507,MM-RVD,UNIT,0.3,proportion,0.9993354127168572,1
Allen VBN,546507,MM-RVD,UNIT,0.4,proportion,0.9989966210737178,1
Allen VBN,546507,MM-RVD,UNIT,0.5,proportion,0.999129976148802,1
Allen VBN,546507,SVM,CLEAN_REFERENCE,0.0,none,0.9877532185798903,1
Allen VBN,546507,SVM,TEMPORAL,2.0,bins,0.9866200610045753,1
Allen VBN,546507,SVM,TEMPORAL,3.0,bins,0.9860935887330631,1
Allen VBN,546507,SVM,TEMPORAL,5.0,bins,0.9760775531199068,1
Allen VBN,546507,SVM,TEMPORAL,7.0,bins,0.9589851932663931,1
Allen VBN,546507,SVM,TEMPORAL,10.0,bins,0.8877620814813737,1
Allen VBN,546507,SVM,UNIT,0.1,proportion,0.986336478631674,1
Allen VBN,546507,SVM,UNIT,0.2,proportion,0.9848632186147948,1
Allen VBN,546507,SVM,UNIT,0.3,proportion,0.9796386274014821,1
Allen VBN,546507,SVM,UNIT,0.4,proportion,0.9726743493971053,1
Allen VBN,546507,SVM,UNIT,0.5,proportion,0.9668995557421257,1
Allen VBN,563497,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9994206163997745,2
Allen VBN,563497,MM-RVD,TEMPORAL,2.0,bins,0.999453606665323,2
Allen VBN,563497,MM-RVD,TEMPORAL,3.0,bins,0.999130918799403,2
Allen VBN,563497,MM-RVD,TEMPORAL,5.0,bins,0.9981425959613814,2
Allen VBN,563497,MM-RVD,TEMPORAL,7.0,bins,0.9976541863184578,2
Allen VBN,563497,MM-RVD,TEMPORAL,10.0,bins,0.9968144016024929,2
Allen VBN,563497,MM-RVD,UNIT,0.1,proportion,0.9995700018979974,2
Allen VBN,563497,MM-RVD,UNIT,0.2,proportion,0.9991713846626536,2
Allen VBN,563497,MM-RVD,UNIT,0.3,proportion,0.9990879796955279,2
Allen VBN,563497,MM-RVD,UNIT,0.4,proportion,0.998892209385835,2
Allen VBN,563497,MM-RVD,UNIT,0.5,proportion,0.9986077865894729,2
Allen VBN,563497,SVM,CLEAN_REFERENCE,0.0,none,0.9925757169689147,2
Allen VBN,563497,SVM,TEMPORAL,2.0,bins,0.9909362245465256,2
Allen VBN,563497,SVM,TEMPORAL,3.0,bins,0.9890283940691854,2
Allen VBN,563497,SVM,TEMPORAL,5.0,bins,0.981664318917929,2
Allen VBN,563497,SVM,TEMPORAL,7.0,bins,0.9744368968026285,2
Allen VBN,563497,SVM,TEMPORAL,10.0,bins,0.940596653127812,2
Allen VBN,563497,SVM,UNIT,0.1,proportion,0.991087684010774,2
Allen VBN,563497,SVM,UNIT,0.2,proportion,0.9865215633491081,2
Allen VBN,563497,SVM,UNIT,0.3,proportion,0.9839608017402065,2
Allen VBN,563497,SVM,UNIT,0.4,proportion,0.977778599423685,2
Allen VBN,563497,SVM,UNIT,0.5,proportion,0.9644749844250873,2
